Location    Name
westus2     microsoft_iot_edge
westus2     microstrategy
westus2     midfin
westus2     midvision
westus2     mindcti
westus2     miraclelinux
westus2     miracl_linux
westus2     miri-infotech-pvt-ltd
westus2     mobilab
westus2     modern-systems
westus2     moogsoft
westus2     moviemasher
westus2     msopentech
westus2     mtnfog
westus2     multisoft-ab
westus2     mvp-systems
westus2     mxhero
westus2     my-com
westus2     narrativescience
westus2     nasuni
westus2     ncbi
westus2     ndl
westus2     nebbiolo-technologies-inc
westus2     nec-technologies
westus2     neo4j
westus2     neowaybusinesssolutions-4956350
westus2     netapp
westus2     netatwork
westus2     netgate
westus2     netikus-net-ltd
westus2     netiq
westus2     netka
westus2     netmail
westus2     netscout
westus2     netspi
westus2     netsweeper
westus2     netwrix
westus2     netx
westus2     neusoft-neteye
westus2     nginxinc
westus2     nicepeopleatwork
westus2     niolabs-5229713
westus2     nodejsapi
westus2     noobaa
westus2     norsync
westus2     northbridge-secure
westus2     nri
westus2     ntt-data-intellilink-corporation
westus2     nttdata
westus2     nuco-networks
westus2     nuxeo
westus2     nvidia
westus2     o2mc-real-time-data-platform
westus2     objectivity-inc
westus2     oceanblue-cloud
westus2     OctopusDeploy.Tentacle
westus2     officeatwork-ag
westus2     omega-software
westus2     onapsis
westus2     oncore_cloud_services-4944214
westus2     ontology
westus2     onyx-point-inc
westus2     op5
westus2     open-connect-systems
westus2     opencell
westus2     OpenLogic
westus2     opentext
westus2     openvpn
westus2     opslogix
westus2     Oracle
westus2     oriana
westus2     orientdb
westus2     osirium-ltd
westus2     osisoft
westus2     osnexus
westus2     outsystems
westus2     paloaltonetworks
westus2     panorama-necto
westus2     panzura-file-system
westus2     parallels
westus2     parasoft
westus2     passlogy
westus2     paxata
westus2     peer-software-inc
westus2     penta-security-systems-inc
westus2     percona
westus2     pivotal
westus2     plesk
westus2     portalarchitects
westus2     postgres-pro
westus2     prestashop
westus2     prestige_informatique-1090178
westus2     prime-strategy
westus2     primekey
westus2     pro-vision
westus2     process-one
westus2     processgold
westus2     profecia
westus2     Profiler.Master.Test
westus2     profisee
westus2     progelspa
westus2     ptsecurity
westus2     pulse-secure
westus2     Puppet
westus2     PuppetLabs
westus2     PuppetLabs.Test
westus2     pydio
westus2     pyramidanalytics
westus2     qlik
westus2     qore-technologies
westus2     qs-solutions
westus2     Qualys
westus2     Qualys.Test
westus2     qualysguard
westus2     quasardb
westus2     qubole-inc
westus2     quest
westus2     racknap
westus2     radiant-logic
westus2     radware
westus2     rancher
westus2     rapid7
westus2     Rapid7.InsightPlatform
westus2     rapidminer
westus2     rds
westus2     realm
westus2     reblaze
westus2     RedHat
westus2     redpoint-global
westus2     refinitiv-4807503
westus2     relevance-lab
westus2     remotelearner
westus2     res
westus2     resco
westus2     responder-corp
westus2     revolution-analytics
westus2     ribboncommunications
westus2     riverbed
westus2     rocketsoftware
westus2     roktech
westus2     rsa-security-llc
westus2     rsk-labs
westus2     rstudio-5237862
westus2     rtts
westus2     rubrik-inc
westus2     s2ix
westus2     saama
westus2     saasame-limited
westus2     safeticatechnologiessro
westus2     saltstack
westus2     samsung-sds
westus2     samsungsds-cello
westus2     sap
westus2     scaidata
westus2     scalearc
westus2     scalegrid
westus2     scality
westus2     scsk
